Img;Dia;Hora;Pir;Sar;Tar;Tex;Taq;Urt
2018-09-04 14_34_02.png;04_09_2018;14_34_02;201.569;0.805;16.728;28.242;22;43.629
2018-09-04 14_34_18.png;04_09_2018;14_34_18;204.167;0.789;16.681;28.141;22.006;44.554
2018-09-04 14_34_34.png;04_09_2018;14_34_34;206.489;0.202;16.717;28.154;21.995;42.655
2018-09-04 14_34_50.png;04_09_2018;14_34_50;208.386;1.239;16.775;28.135;22.022;41.781
2018-09-04 14_35_05.png;04_09_2018;14_35_05;209.992;0.543;16.873;28.012;22.079;42.995
2018-09-04 15_32_25.png;04_09_2018;15_32_25;169.054;0.046;11.49;18.442;20.079;106.628
2018-09-04 15_33_52.png;04_09_2018;15_33_52;178.457;0.096;11.353;18.879;20.105;106.513
2018-09-04 15_34_08.png;04_09_2018;15_34_08;180.671;0.076;11.402;18.959;20.13;106.476
2018-09-04 15_34_23.png;04_09_2018;15_34_23;182.822;0.058;11.332;18.999;20.117;106.582
2018-09-04 15_34_39.png;04_09_2018;15_34_39;185.158;0.059;11.474;19.032;20.133;106.292
2018-09-04 15_34_55.png;04_09_2018;15_34_55;187.852;0.075;11.623;19.147;20.017;106.353
2018-09-04 15_35_11.png;04_09_2018;15_35_11;190.941;0.159;11.807;19.201;20.187;106.363
2018-09-04 15_35_27.png;04_09_2018;15_35_27;194.146;0.015;11.983;19.272;20.059;106.591
2018-09-04 15_35_43.png;04_09_2018;15_35_43;197.641;0.12;11.829;19.335;20.006;106.399
2018-09-04 15_35_58.png;04_09_2018;15_35_58;202.584;0.423;11.742;19.403;19.981;106.613
2018-09-04 15_36_14.png;04_09_2018;15_36_14;208.579;0.071;11.826;19.455;19.87;106.228
2018-09-04 15_36_30.png;04_09_2018;15_36_30;215.247;0.02;12.113;19.534;19.743;106.296
2018-09-04 15_36_46.png;04_09_2018;15_36_46;221.968;0.027;12.046;19.593;19.69;106.392
2018-09-04 15_37_01.png;04_09_2018;15_37_01;228.182;0.156;12.085;19.672;19.689;106.29
2018-09-04 15_37_17.png;04_09_2018;15_37_17;235.471;0.061;12.117;19.783;19.619;106.201
2018-09-04 15_37_33.png;04_09_2018;15_37_33;242.828;0.077;11.722;19.928;19.614;106.29
2018-09-04 15_37_49.png;04_09_2018;15_37_49;248.824;0.019;11.797;20.013;19.551;106.092
2018-09-04 15_38_04.png;04_09_2018;15_38_04;253.11;0.045;11.869;20.15;19.526;105.81
2018-09-04 15_38_20.png;04_09_2018;15_38_20;256.697;0.185;11.519;20.137;19.526;105.963
2018-09-04 15_38_36.png;04_09_2018;15_38_36;260.207;0.07;11.476;20.344;19.453;105.845
2018-09-04 15_38_51.png;04_09_2018;15_38_51;258.901;0.057;11.586;20.45;19.435;105.896
2018-09-04 15_39_07.png;04_09_2018;15_39_07;288.569;0.048;11.79;20.631;19.407;106.171
2018-09-04 15_39_23.png;04_09_2018;15_39_23;400.156;0.102;11.978;20.988;19.402;106.148
2018-09-04 15_39_39.png;04_09_2018;15_39_39;503.923;0.051;11.963;21.353;19.379;106.113
2018-09-04 15_39_55.png;04_09_2018;15_39_55;455.135;0.213;12.228;21.903;19.357;105.915
2018-09-04 15_40_10.png;04_09_2018;15_40_10;460.441;0.064;12.432;22.053;19.3;106.042
2018-09-04 15_40_26.png;04_09_2018;15_40_26;637.299;0.069;12.636;22.847;19.283;105.992
2018-09-04 15_40_42.png;04_09_2018;15_40_42;663.767;0.042;13.214;23.562;19.284;105.797
2018-09-04 15_40_57.png;04_09_2018;15_40_57;652.81;0.039;13.702;24.137;19.221;105.89
2018-09-04 15_41_13.png;04_09_2018;15_41_13;652.484;0.053;13.598;24.68;19.257;105.11
2018-09-04 15_41_29.png;04_09_2018;15_41_29;480.525;0.073;13.815;25.079;19.176;104.798
2018-09-04 15_41_45.png;04_09_2018;15_41_45;640.005;0.071;13.967;25.363;19.213;104.751
2018-09-04 15_42_00.png;04_09_2018;15_42_00;634.086;0.169;14.183;25.867;19.152;105.108
2018-09-04 15_42_16.png;04_09_2018;15_42_16;496.137;0.047;14.543;26.048;19.164;104.916
2018-09-04 15_42_32.png;04_09_2018;15_42_32;259.814;0.165;14.475;25.927;19.154;105.024
2018-09-04 15_42_48.png;04_09_2018;15_42_48;228.072;0.217;13.817;25.496;19.167;103.128
2018-09-04 15_43_03.png;04_09_2018;15_43_03;226.224;0.158;13.48;25.226;19.103;103.45
2018-09-04 15_43_19.png;04_09_2018;15_43_19;332.636;1.541;13.343;25.282;19.083;102.893
2018-09-04 15_43_35.png;04_09_2018;15_43_35;201.004;0.936;12.855;24.872;19.104;99.903
2018-09-04 15_43_50.png;04_09_2018;15_43_50;185.445;0.449;12.935;24.635;19.008;99.91
